id,updated,confirmed,confirmed_change,deaths,deaths_change,recovered,recovered_change,latitude,longitude,iso2,iso3,country_region,admin_region_1,iso_subdivision,admin_region_2,load_time
338995,2020-01-21,262,,0,,,,,,,,Worldwide,,,,2022-09-15 00:04:12
338996,2020-01-22,313,51,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
abcd,2020-01-23,578,265,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
338998,2020-01-24,841,263,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
338999,2020-01-25,1320,479,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339000,2020-01-26,2014,694,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339001,2020-01-27,2798,784,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339002,2020-01-28,4593,1795,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339003,2020-01-29,6065,1472,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339004,2020-01-30,7818,1753,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339005,2020-01-31,9826,2008,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339006,2020-02-01,11953,2127,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339007,2020-02-02,14557,2604,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339008,2020-02-03,17386,2829,362,362,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339009,2020-02-04,20625,3239,426,64,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339010,2020-02-05,24549,3924,492,66,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339011,2020-02-06,28256,3707,565,73,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339012,2020-02-07,31420,3164,638,73,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339013,2020-02-08,34822,3402,724,86,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339014,2020-02-09,37494,2672,813,89,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339015,2020-02-10,40484,2990,910,97,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339016,2020-02-11,42968,2484,1018,108,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339017,2020-02-12,44996,2028,1115,97,,,,,,,Worldwide,,,,2022-09-15 00:04:12
