id,updated,confirmed,confirmed_change,deaths,deaths_change,recovered,recovered_change,latitude,longitude,iso2,iso3,country_region,admin_region_1,iso_subdivision,admin_region_2,load_time
338995,2020-01-21,262,,0,,,,,,,,Worldwide,,,,2022-09-15 00:04:12
338996,2020-01-22,313,51,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
338997,2020-01-23,578,265,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
338998,2020-01-24,841,263,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
338999,2020-01-25,1320,479,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339000,2020-01-26,2014,694,0,0,,,,,,,"World, wide, data",,,,2022-09-15 00:04:12
339001,2020-01-27,2798,784,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339002,2020-01-28,4593,1795,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339003,2020-01-29,6065,1472,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339004,2020-01-30,7818,1753,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339005,2020-01-31,9826,2008,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339006,2020-02-01,11953,2127,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
339007,2020-02-02,14557,2604,0,0,,,,,,,Worldwide,,,,2022-09-15 00:04:12
